Date,Merchant,Amount,Business_Purpose,Deductible_100%
2022-02-22,Purchase authorized on 02/19 Uber Eats Help.Uber.Com CA S462051153640563 Card 6470,$36.58,,
2022-02-22,Purchase authorized on 02/20 Tst* Sushi Roku- S Santa Monica CA S302051862320513 Card 6470,$102.49,,
2022-02-22,Purchase authorized on 02/20 Wholefds Wwd 10176 Los Angeles CA S302052032681938 Card 6470,$3.34,,
2022-02-25,Purchase authorized on 02/24 Wholefds Val 10178 Santa Clarita CA S302055620789004 Card 6470,$3.34,,
2022-02-25,Purchase authorized on 02/24 Wholefds Val 10178 Santa Clarita CA S382055658479065 Card 6470,$32.15,,
2022-02-25,Purchase authorized on 02/24 Wholefds Val 10178 Santa Clarita CA S462055678231628 Card 6470,$9.99,,
2022-02-28,Purchase authorized on 02/25 Wholefds Val 10178 Santa Clarita CA S382056659199933 Card 6470,$43.39,,
2022-02-28,Purchase authorized on 02/25 Tst* Sushi Roku- S Santa Monica CA S302057111737835 Card 6470,$132.85,,
2022-02-28,Purchase authorized on 02/26 Wholefds Gln 10179 Glendale CA S582058126420113 Card 6470,$38.48,,
2022-03-02,Purchase authorized on 03/01 Wholefds Val 10178 Santa Clarita CA S302061188238590 Card 6470,$131.05,,
2022-03-03,Purchase authorized on 03/02 Wholefds Brt 10074 Los Angeles CA S462062023851564 Card 6470,$15.13,,
2022-03-07,Purchase authorized on 03/04 Wholefds Val 10178 Santa Clarita CA S382063778886285 Card 6470,$19.33,,
2022-03-07,Purchase authorized on 03/04 Erewhon Los Angeles Los Angeles CA P462064173565653 Card 6470,$23.71,,
2022-03-07,Purchase authorized on 03/05 Erewhon Los Angeles CA P382065159433298 Card 6470,$101.31,,
2022-03-09,Purchase authorized on 03/08 Trader Joe's # 044 Granadahills CA P302068157736413 Card 6470,$3.99,,
2022-03-14,Purchase authorized on 03/11 Erewhon Market Stuido City CA P462071111460381 Card 6470,$281.08,,
2022-03-15,Purchase authorized on 03/13 Mimis Cafe (Valenc Santa Clarita CA S302072699187860 Card 6470,$42.74,,
2022-03-18,Purchase authorized on 03/17 Wholefds Oxn #1031 Oxnard CA S462076603400782 Card 6470,$3.54,,
2022-03-21,Purchase authorized on 03/20 Wholefds Dla #1054 Los Angeles CA S382080068832737 Card 6470,$19.86,,
2022-03-21,Purchase authorized on 03/20 Kiku Sushi Los Angeles CA P000000173121679 Card 6470,$93.03,,
2022-03-22,Purchase authorized on 03/21 Uber Eats Help.Uber.Com CA S462080737440613 Card 6470,$55.65,,
2022-03-29,Purchase authorized on 03/29 Wholefds Val 101 24130 VA Santa Clarita CA P382088614389753 Card 6470,$7.04,,
2022-04-04,Purchase authorized on 04/01 Wholefds Val 10178 Santa Clarita CA S302091840304070 Card 6470,$170.33,,
2022-04-04,Purchase authorized on 04/03 Wholefds Val 10178 Santa Clarita CA S582093854420354 Card 6470,$21.98,,
2022-04-11,Purchase authorized on 04/08 Tst* Sushi Roku- S Santa Monica CA S582099172544506 Card 6470,$141.51,,
2022-04-11,Purchase authorized on 04/10 Uber Eats Help.Uber.Com CA S302100863783906 Card 6470,$91.32,,
2022-04-12,Purchase authorized on 04/11 Erewhon Market Stuido City CA P302102108003887 Card 6470,$64.98,,
2022-04-14,Purchase authorized on 04/13 Wholefds Oxn #1031 Oxnard CA S462103764580790 Card 6470,$19.32,,
2022-04-18,Purchase authorized on 04/16 Kibo Sushi Ventura CA S302106841710260 Card 6470,$69.05,,
2022-04-18,Purchase authorized on 04/16 Wholefds Oxn #1031 Oxnard CA S382107050779999 Card 6470,$40.22,,
2022-04-18,Purchase authorized on 04/17 Wholefds Val 10178 Santa Clarita CA S462108042822766 Card 6470,$5.99,,
2022-04-18,Purchase authorized on 04/17 Wholefds Val 10178 Santa Clarita CA S462108092764975 Card 6470,$19.85,,
2022-04-19,Purchase authorized on 04/18 Uber Eats Help.Uber.Com CA S582109092893330 Card 6470,$68.54,,
2022-04-20,Purchase authorized on 04/19 Wholefds Val 10178 Santa Clarita CA S582109632334236 Card 6470,$10.04,,
2022-04-20,Purchase authorized on 04/19 Wholefds Val 10178 Santa Clarita CA S462109667864287 Card 6470,$3.54,,
2022-04-21,Purchase authorized on 04/20 Uber Eats Help.Uber.Com CA S382110746608071 Card 6470,$83.51,,
2022-04-21,Purchase authorized on 04/20 Uber Eats Help.Uber.Com CA S462111044363887 Card 6470,$77.14,,
2022-04-22,Purchase authorized on 04/21 Erewhon Market Stuido City CA P382112084038743 Card 6470,$41.80,,
2022-04-22,Purchase authorized on 04/21 Trader Joe's # 013 Santa Clarita CA P302112121895797 Card 6470,$22.27,,
2022-04-25,Purchase authorized on 04/23 Uber Eats Help.Uber.Com CA S302113769444514 Card 6470,$100.46,,
2022-04-25,Purchase authorized on 04/24 Wholefds Bbk#10545 Burbank CA S462115035397830 Card 6470,$14.23,,
2022-04-25,Purchase authorized on 04/24 Wholefds Bbk#10545 Burbank CA S302115044336429 Card 6470,$5.99,,
2022-04-28,Purchase authorized on 04/26 Tst* Sushi Roku - Pasadena CA S582117157455117 Card 6470,$125.69,,
2022-05-03,Purchase authorized on 05/02 Wholefds Val 10178 Santa Clarita CA S462122659248862 Card 6470,$70.46,,
2022-05-09,Purchase authorized on 05/06 Wholefds Bbk#10545 Burbank CA S302126724555736 Card 6470,$21.25,,
2022-05-09,Purchase authorized on 05/06 Wholefds Bbk#10545 Burbank CA S382126738073168 Card 6470,$3.54,,
2022-05-09,Purchase authorized on 05/07 Wholefds Oxn #1031 Oxnard CA S582128093437083 Card 6470,$27.25,,
2022-05-09,Purchase authorized on 05/08 Uber Eats Help.Uber.Com CA S582128660922536 Card 6470,$48.90,,
2022-05-13,Purchase authorized on 05/12 Erewhon Market Stuido City CA P462133066391734 Card 6470,$145.51,,
2022-05-16,Purchase authorized on 05/14 Wholefds Val 10178 Santa Clarita CA S382134744889112 Card 6470,$66.26,,
2022-05-16,Purchase authorized on 05/14 Wholefds Val 10178 Santa Clarita CA S382134855500393 Card 6470,$117.91,,
2022-05-17,Purchase authorized on 05/15 Erewhon Market Stuido City CA S582136041421860 Card 6470,$4.99,,
2022-05-20,Purchase authorized on 05/18 Tst* Sushi Roku - Pasadena CA S382139135551511 Card 6470,$169.32,,
2022-05-20,Purchase authorized on 05/19 Tst* Cafe Gratitud Los Angeles CA S462139799215957 Card 6470,$110.28,,
2022-05-20,Purchase authorized on 05/19 Tst* Cafe Gratitud Los Angeles CA S382139804155420 Card 6470,$15.47,,
2022-05-23,Purchase authorized on 05/20 Uber Eats Help.Uber.Com CA S462141038581908 Card 6470,$59.47,,
2022-05-23,Purchase authorized on 05/22 Uber Eats Help.Uber.Com CA S582142821494099 Card 6470,$68.48,,
2022-05-24,Purchase authorized on 05/23 Uber Eats Help.Uber.Com CA S382143682895671 Card 6470,$61.07,,
2022-05-24,Purchase authorized on 05/23 Wholefds Val 10178 Santa Clarita CA S302143792454492 Card 6470,$128.99,,
2022-05-25,Purchase authorized on 05/23 The Drugstore Cafe Las Vegas NV S382144180068729 Card 6470,$23.39,,
2022-05-27,Purchase authorized on 05/25 Allegro Restaurant 702-770-2540 NV S302146076904814 Card 6470,$137.05,,
2022-05-27,Purchase authorized on 05/26 Wholefds Lvb 10286 Las Vegas NV S462146678828655 Card 6470,$11.92,,
2022-05-27,Purchase authorized on 05/26 Wholefds Lvb 10286 Las Vegas NV S582146684841947 Card 6470,$57.31,,
2022-05-27,Purchase authorized on 05/26 Erewhon Market Stuido City CA P382147059523728 Card 6470,$13.80,,
2022-05-31,Purchase authorized on 05/27 Uber Eats Help.Uber.Com CA S302147834769928 Card 6470,$74.23,,
2022-05-31,Purchase authorized on 05/27 Uber Eats Help.Uber.Com CA S462148105046126 Card 6470,$40.20,,
2022-05-31,Purchase authorized on 05/28 Uber Eats Help.Uber.Com CA S462148803393878 Card 6470,$30.81,,
2022-06-03,Purchase authorized on 06/02 Uber Eats Help.Uber.Com CA S382153747584266 Card 6470,$134.99,,
2022-06-06,Purchase authorized on 06/04 Uber Eats Help.Uber.Com CA S462156016948471 Card 6470,$102.50,,
2022-06-06,Purchase authorized on 06/05 Wholefds Val 10178 Santa Clarita CA S462156828469730 Card 6470,$36.46,,
2022-06-08,Purchase authorized on 06/06 Uber Eats Help.Uber.Com CA S382158122926195 Card 6470,$120.37,,
2022-06-13,Purchase authorized on 06/11 Uber Eats Help.Uber.Com CA S382162776677056 Card 6470,$132.74,,
2022-06-16,Purchase authorized on 06/15 Wholefds Oxn #1031 Oxnard CA S462167009027141 Card 6470,$22.68,,
2022-06-21,Purchase authorized on 06/16 Ubr Postmates Help.Uber.Com CA S302168219323796 Card 6470,$31.19,,
2022-06-21,Purchase authorized on 06/18 Uber Eats Help.Uber.Com CA S302169666792360 Card 6470,$81.07,,
2022-06-29,Purchase authorized on 06/28 Uber Eats Help.Uber.Com CA S382180092526267 Card 6470,$85.31,,
2022-07-05,Purchase authorized on 07/02 Erewhon Market Stuido City CA P302183683648730 Card 6470,$39.73,,
2022-07-05,Purchase authorized on 07/03 Uber Eats Help.Uber.Com CA S382185051605708 Card 6470,$103.07,,
2022-07-06,Purchase authorized on 07/04 Uber Eats Help.Uber.Com CA S382186119479217 Card 6470,$61.50,,
2022-07-08,Purchase authorized on 07/06 Tst* Sushi Roku - Pasadena CA S382188126267069 Card 6470,$119.83,,
2022-07-08,Purchase authorized on 07/07 Kumadori Sushi Glendale CA S302189136819038 Card 6470,$182.98,,
2022-07-08,Purchase authorized on 07/07 Kumadori Sushi Glendale CA S382189137436424 Card 6470,$3.86,,
2022-08-01,Purchase authorized on 07/30 Wholefds Pch 102 760 S SE El Segundo CA P382212147058006 Card 6470,$18.38,,
2022-08-01,Purchase authorized on 07/30 Wholefds Pch 10225 El Segundo CA S382212164831601 Card 6470,$4.08,,
2022-08-01,Purchase authorized on 07/31 Ic* Instacart Httpsinstacar CA S582213022739899 Card 6470,$34.57,,
2022-08-04,Purchase authorized on 08/03 Wholefds Wwd 10176 Los Angeles CA S382216053982271 Card 6470,$25.98,,
2022-08-04,Purchase authorized on 08/04 Erewhon Market Stuido City CA P582216621278403 Card 6470,$22.11,,
2022-08-08,Purchase authorized on 08/07 Wholefds Oxn #1031 Oxnard CA S582219759495914 Card 6470,$36.49,,
2022-08-12,Purchase authorized on 08/11 Wholefds Oxn #1031 Oxnard CA S582224144892569 Card 6470,$82.55,,
2022-08-17,Purchase authorized on 08/15 Tst* Sushi Roku - Pasadena CA S382228131824066 Card 6470,$164.11,,
2022-08-17,Purchase authorized on 08/16 Wholefds Arr 10237 Pasadena CA S582228857009044 Card 6470,$27.40,,
2022-08-22,Purchase authorized on 08/21 Wholefds Val 10178 Santa Clarita CA S382233769532544 Card 6470,$34.18,,
2022-08-23,Purchase authorized on 08/22 Wholefds Arr 10237 Pasadena CA S582234822471522 Card 6470,$18.93,,
2022-08-24,Purchase authorized on 08/22 Uber Eats Help.Uber.Com CA S582235126908555 Card 6470,$81.21,,
2022-08-24,Purchase authorized on 08/23 Uber Eats Help.Uber.Com CA S382235255700857 Card 6470,$68.85,,
2022-08-24,Purchase authorized on 08/23 Wholefds Arr 10237 Pasadena CA S382235632461776 Card 6470,$45.65,,
2022-08-24,Purchase authorized on 08/23 Wholefds Arr 10237 Pasadena CA S582236069455257 Card 6470,$4.40,,
2022-08-24,Purchase authorized on 08/23 Wholefds Arr 10237 Pasadena CA S462236082640260 Card 6470,$107.59,,
2022-08-25,Purchase authorized on 08/24 Uber Eats Help.Uber.Com CA S302236603857886 Card 6470,$16.60,,
2022-08-25,Purchase authorized on 08/24 Uber Eats Help.Uber.Com CA S302236615474507 Card 6470,$34.42,,
2022-08-29,Purchase authorized on 08/25 Tst* Sushi Roku - Pasadena CA S582238044036105 Card 6470,$130.26,,
2022-08-29,Purchase authorized on 08/28 Uber Eats Help.Uber.Com CA S382240755407683 Card 6470,$62.75,,
2022-08-31,Purchase authorized on 08/30 Ic* Instacart*1102 Httpsinstacar CA S582242691713873 Card 6470,$110.14,,
2022-08-31,Purchase authorized on 08/30 Wholefds Arr 10237 Pasadena CA S302243033776610 Card 6470,$27.26,,
2022-09-01,Purchase authorized on 08/31 Wholefds Arr 10237 Pasadena CA S382243829331821 Card 6470,$16.99,,
2022-09-02,Purchase authorized on 08/31 Tst* Sushi Roku - Pasadena CA S462244147436673 Card 6470,$123.74,,
2022-09-06,Purchase authorized on 09/03 Wholefds Val 10178 Santa Clarita CA S462246850240379 Card 6470,$20.53,,
2022-09-06,Purchase authorized on 09/04 Uber Eats Help.Uber.Com CA S462248011383156 Card 6470,$151.31,,
2022-09-06,Purchase authorized on 09/05 Wholefds Arr 10237 Pasadena CA S382248637585994 Card 6470,$58.97,,
2022-09-07,Purchase authorized on 09/06 Wholefds Arr 10237 Pasadena CA S302249727857596 Card 6470,$16.99,,
2022-09-07,Purchase authorized on 09/06 Wholefds Arr 10237 Pasadena CA S462249738557500 Card 6470,$1.74,,
2022-09-07,Purchase authorized on 09/06 Wholefds Arr 10237 Pasadena CA S582250095800945 Card 6470,$25.01,,
2022-09-08,Purchase authorized on 09/07 Wholefds Arr 10237 Pasadena CA S582250816406058 Card 6470,$20.33,,
2022-09-12,Purchase authorized on 09/10 Wholefds Arr 10237 Pasadena CA S302253691683786 Card 6470,$20.53,,
2022-09-12,Purchase authorized on 09/10 Wholefds Arr 10237 Pasadena CA S462253709160075 Card 6470,$32.06,,
2022-09-12,Purchase authorized on 09/11 Crave Cafe Pasaden Pasadena CA S382254267238058 Card 6470,$7.70,,
2022-09-12,Purchase authorized on 09/11 Ic* Instacart Httpsinstacar CA S382255042349602 Card 6470,$66.76,,
2022-09-12,Purchase authorized on 09/11 Uber Eats Help.Uber.Com CA S582255044035795 Card 6470,$151.39,,
2022-09-13,Purchase authorized on 09/11 Erewhon Los Angeles CA S462254785916678 Card 6470,$36.97,,
2022-09-13,Purchase authorized on 09/11 Erewhon Los Angeles CA S582254858192478 Card 6470,$27.54,,
2022-09-19,Purchase authorized on 09/16 Wholefds Arr 10237 Pasadena CA S382259773843235 Card 6470,$225.59,,
2022-09-19,Purchase authorized on 09/16 Tst* Sushi Roku - Pasadena CA S302260087933100 Card 6470,$119.82,,
2022-09-19,Purchase authorized on 09/17 Tst* Teru Sushi Studio City CA S382261144896744 Card 6470,$94.62,,
2022-09-20,Purchase authorized on 09/19 Kumadori Sushi Glendale CA S302263131134493 Card 6470,$134.68,,
2022-09-21,Purchase authorized on 09/20 Wholefds Arr 10237 Pasadena CA S462263792221250 Card 6470,$1.74,,
2022-09-21,Purchase authorized on 09/20 Wholefds Slk#10658 Los Angeles CA S382264149863510 Card 6470,$15.27,,
2022-09-22,Purchase authorized on 09/21 Wholefds Arr 10237 Pasadena CA S382264790357489 Card 6470,$1.74,,
2022-09-22,Purchase authorized on 09/21 Wholefds Arr 10237 Pasadena CA S302264791653212 Card 6470,$5.99,,
2022-09-22,Purchase authorized on 09/21 Uber Eats Help.Uber.Com CA S582265060947529 Card 6470,$37.78,,
2022-09-26,Purchase authorized on 09/23 Uber Eats Help.Uber.Com CA S382267173762685 Card 6470,$37.08,,
2022-09-26,Purchase authorized on 09/24 Erewhon Market Stuido City CA S582267831266200 Card 6470,$53.89,,
2022-10-03,Purchase authorized on 09/29 Starbucks Store 00 San Marino CA S582273016632551 Card 6470,$17.50,,
2022-10-03,Purchase authorized on 09/29 Tst* Sushi Roku - Pasadena CA S462273119885230 Card 6470,$130.25,,
2022-10-03,Purchase authorized on 09/30 Starbucks Store 54 Los Angeles CA S462274125087046 Card 6470,$5.50,,
2022-10-03,Purchase authorized on 10/01 Erewhon Calabasas Calabasas CA P382275000002123 Card 6470,$70.55,,
2022-10-04,Purchase authorized on 10/02 Erewhon Market Stuido City CA S462275792901029 Card 6470,$23.03,,
2022-10-05,Purchase authorized on 10/04 Wholefds Arr 10237 Pasadena CA S582277763837944 Card 6470,$9.09,,
2022-10-06,Purchase authorized on 10/04 Uber Eats Help.Uber.Com CA S302278176488053 Card 6470,$37.13,,
2022-10-06,Purchase authorized on 10/04 Uber Eats Help.Uber.Com CA S582278178366622 Card 6470,$29.65,,
2022-10-06,Purchase authorized on 10/05 Uber Eats Help.Uber.Com CA S302278730667573 Card 6470,$20.79,,
2022-10-06,Purchase authorized on 10/05 Erewhon Market Stuido City CA P462279039889321 Card 6470,$62.25,,
2022-10-11,Purchase authorized on 10/07 Wholefds Npt #1046 Newport Beach CA S302280672171676 Card 6470,$33.41,,
2022-10-11,Purchase authorized on 10/07 Wholefds Npt #1046 Newport Beach CA S462281012023534 Card 6470,$15.20,,
2022-10-11,Purchase authorized on 10/07 Uber Eats Help.Uber.Com CA S382281120643281 Card 6470,$70.81,,
2022-10-11,Purchase authorized on 10/08 Wholefds Oxn #1031 Oxnard CA S462281848612255 Card 6470,$13.21,,
2022-10-11,Purchase authorized on 10/09 Wholefds Arr 10237 Pasadena CA S462282713963364 Card 6470,$23.21,,
2022-10-11,Purchase authorized on 10/09 Wholefds Arr 10237 Pasadena CA S582282742102293 Card 6470,$7.69,,
2022-10-11,Purchase authorized on 10/09 Uber Eats Help.Uber.Com CA S302283027467534 Card 6470,$87.91,,
2022-10-11,Purchase authorized on 10/09 Uber Eats Help.Uber.Com CA S382283031400886 Card 6470,$148.05,,
2022-10-11,Purchase authorized on 10/10 Uber Eats Help.Uber.Com CA S302283658653688 Card 6470,$23.79,,
2022-10-11,Purchase authorized on 10/10 Wholefds Cul #1076 Los Angeles CA S582283854052569 Card 6470,$21.72,,
2022-10-11,Purchase authorized on 10/10 Wholefds Ffx 10177 Los Angeles CA S582284084830998 Card 6470,$5.29,,
2022-10-11,Purchase authorized on 10/07 Wholefds Npt #1046 Newport Beach CA S462281012023534 Card 6470,$15.20,,
2022-10-11,Purchase authorized on 10/08 Wholefds Oxn #1031 Oxnard CA S462281848612255 Card 6470,$13.21,,
2022-10-11,Purchase authorized on 10/09 Wholefds Arr 10237 Pasadena CA S462282713963364 Card 6470,$23.21,,
2022-10-11,Purchase authorized on 10/09 Wholefds Arr 10237 Pasadena CA S582282742102293 Card 6470,$7.69,,
2022-10-11,Purchase authorized on 10/09 Uber Eats Help.Uber.Com CA S302283027467534 Card 6470,$87.91,,
2022-10-11,Purchase authorized on 10/09 Uber Eats Help.Uber.Com CA S382283031400886 Card 6470,$148.05,,
2022-10-11,Purchase authorized on 10/10 Uber Eats Help.Uber.Com CA S302283658653688 Card 6470,$23.79,,
2022-10-11,Purchase authorized on 10/10 Wholefds Cul #1076 Los Angeles CA S582283854052569 Card 6470,$21.72,,
2022-10-11,Purchase authorized on 10/10 Wholefds Ffx 10177 Los Angeles CA S582284084830998 Card 6470,$5.29,,
2022-10-12,Purchase authorized on 10/11 Wholefds Arr 10237 Pasadena CA S462284813369227 Card 6470,$19.93,,
2022-10-12,Purchase authorized on 10/11 Erewhon Market Stuido City CA P302285138776186 Card 6470,$43.03,,
2022-10-17,Purchase authorized on 10/14 Erewhon Market Stuido City CA S302288090081338 Card 6470,$51.56,,
2022-10-17,Purchase authorized on 10/16 Ic* Instacart*1969 Httpsinstacar CA S302289850795772 Card 6470,$260.05,,
2022-10-17,Purchase authorized on 10/16 Wholefds Arr 10237 Pasadena CA S462290146697143 Card 6470,$6.93,,
2022-10-21,Purchase authorized on 10/20 Wholefds Arr 10237 Pasadena CA S302293763846008 Card 6470,$23.57,,
2022-10-24,Purchase authorized on 10/20 Tst* Sushi Roku - Pasadena CA S382294068439706 Card 6470,$112.01,,
2022-10-24,Purchase authorized on 10/20 Erewhon Market Stuido City CA S582294125876683 Card 6470,$69.78,,
2022-10-24,Purchase authorized on 10/22 Sq *Caje Paseo Santa Barbara CA S582295646340925 Card 6470,$26.18,,
2022-10-24,Purchase authorized on 10/23 Wholefds Val 10178 Santa Clarita CA S462297003628008 Card 6470,$10.23,,
2022-10-25,Purchase authorized on 10/23 Tst* Sushi Roku - Pasadena CA S302297079395171 Card 6470,$158.69,,
2022-10-25,Purchase authorized on 10/23 Starbucks Store 00 Pasadena CA S462297084559687 Card 6470,$3.45,,
2022-10-25,Purchase authorized on 10/24 Wholefds Val 10178 Santa Clarita CA S582297805911314 Card 6470,$21.62,,
2022-10-26,Purchase authorized on 10/25 Wholefds Slk#10658 Los Angeles CA S582298659616614 Card 6470,$7.91,,
2022-10-27,Purchase authorized on 10/26 Wholefds Val 10178 Santa Clarita CA S302300026798564 Card 6470,$15.03,,
2022-11-03,Purchase authorized on 11/02 Uber Eats Help.Uber.Com CA S382306660475574 Card 6470,$43.17,,
2022-11-07,Purchase authorized on 11/06 Wholefds Val 101 24130 VA Santa Clarita CA P582311070903101 Card 6470,$373.82,,
2022-11-10,Purchase authorized on 11/08 Tst* Sushi Roku - Pasadena CA S382313153200096 Card 6470,$140.67,,
2022-11-10,Purchase authorized on 11/09 Wholefds Pas 10108 Pasadena CA S582314110178374 Card 6470,$34.02,,
2022-11-14,Purchase authorized on 11/10 Wholefds Oxn #1031 Oxnard CA S382314724953880 Card 6470,$33.92,,
2022-11-14,Purchase authorized on 11/11 Uber Eats Help.Uber.Com CA S382315705439226 Card 6470,$86.68,,
2022-11-14,Purchase authorized on 11/12 Wholefds Oks 10204 Thousand Oaks CA S382316810311026 Card 6470,$30.42,,
2022-11-14,Purchase authorized on 11/13 Erewhon Market Stuido City CA P582318060239477 Card 6470,$32.00,,
2022-11-18,Purchase authorized on 11/16 Uber Eats Help.Uber.Com CA S382321113309252 Card 6470,$147.05,,
2022-11-21,Purchase authorized on 11/17 Sushi Enya - Pasad Pasadena CA S462322204029214 Card 6470,$29.83,,
2022-11-28,Purchase authorized on 11/25 Wholefds Oxn #1031 Oxnard CA S302329730799460 Card 6470,$8.92,,
2022-11-28,Purchase authorized on 11/25 Uber Eats Help.Uber.Com CA S382330031749696 Card 6470,$81.84,,
2022-11-28,Purchase authorized on 11/26 Wholefds Oxn #1031 Oxnard CA S462330775868378 Card 6470,$39.00,,
2022-11-28,Purchase authorized on 11/26 Wholefds Lag 10406 Laguna Beach CA S462331038245802 Card 6470,$5.48,,
2022-11-28,Purchase authorized on 11/26 Sushi Laguna Laguna Beach CA S582331099170152 Card 6470,$78.12,,
2022-11-28,Purchase authorized on 11/27 Wholefds Oks 10204 Thousand Oaks CA S382331790077981 Card 6470,$27.91,,
2022-11-29,Purchase authorized on 11/28 Wholefds Arr 10237 Pasadena CA S302333198868340 Card 6470,$17.67,,
2022-11-30,Purchase authorized on 11/29 Wholefds Val 10178 Santa Clarita CA S582333684780123 Card 6470,$133.50,,
2022-12-02,Purchase authorized on 11/30 Tst* Sushi Roku - Pasadena CA S302335174870392 Card 6470,$100.51,,
2022-12-05,Purchase authorized on 12/03 Uber Eats Help.Uber.Com CA S382337717214710 Card 6470,$54.26,,
2022-12-05,Purchase authorized on 12/03 Uber Eats Help.Uber.Com CA S382338256961359 Card 6470,$37.12,,
2022-12-05,Purchase authorized on 12/04 Wholefds Arr 10237 Pasadena CA S382338629637951 Card 6470,$14.18,,
2022-12-07,Purchase authorized on 12/06 Uber Eats Help.Uber.Com CA S302340799016489 Card 6470,$47.87,,
2022-12-07,Purchase authorized on 12/06 Uber Eats Help.Uber.Com CA S582341153339458 Card 6470,$39.92,,
2022-12-07,Purchase authorized on 12/06 Uber Eats Help.Uber.Com CA S582341154487139 Card 6470,$69.87,,
2022-12-12,Purchase authorized on 12/10 Uber Eats Help.Uber.Com CA S302344632653511 Card 6470,$51.08,,
