Date,Description,Amount,Source,Balance,Notes
2022-04-07,Pwp Amzn Mktp U Privacycom,-400.92,043022 WellsFargo.pdf,229976.41,
2022-04-08,Purchase - Pymnts Dapper Online Gbr,-411.88,043022 WellsFargo.pdf,,
2022-04-08,Purchase - Apple.Com/Bill 866-712-7753 CA,-80.98,043022 WellsFargo.pdf,,
2022-04-08,Purchase - Pymnts Dapper Online Gbr,-263.46,043022 WellsFargo.pdf,,
2022-04-08,Purchase - Apple.Com/Bill 800-275-2273 CA,-78.98,043022 WellsFargo.pdf,,
2022-04-08,Pwp Amazon Tips Privacycom,-7.00,043022 WellsFargo.pdf,,
2022-04-08,Pwp Amzn Mktp U Privacycom,-33.78,043022 WellsFargo.pdf,,
2022-04-08,Pwp Amzn Mktp U Privacycom,-299.04,043022 WellsFargo.pdf,228801.29,
2022-04-11,WT Fed - Jpmorgan Chase Ban - Popstand Inc,3500.00,043022 WellsFargo.pdf,,
2022-04-11,Wire Trans Svc Charge,-15.00,043022 WellsFargo.pdf,,
2022-04-11,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-39.99,043022 WellsFargo.pdf,,
2022-04-11,Purchase - Apple.Com/Bill 866-712-7753 CA,-27.98,043022 WellsFargo.pdf,,
2022-04-11,Purchase - Tst* Sushi Roku- S Santa Monica CA,-141.51,043022 WellsFargo.pdf,,
2022-04-11,Purchase - City of Santa Moni Santa Monica CA,-11.50,043022 WellsFargo.pdf,,
2022-04-11,Recurring Payment - Apple.Com/Bill 408-974-1010 CA,-4.99,043022 WellsFargo.pdf,,
2022-04-11,Zelle to Ed,-680.00,043022 WellsFargo.pdf,,
2022-04-11,Purchase - Uber Trip Help.Uber.Com CA,-76.63,043022 WellsFargo.pdf,,
2022-04-11,Purchase - Apple.Com/Bill 866-712-7753 CA,-74.99,043022 WellsFargo.pdf,,
2022-04-11,Purchase - Apple.Com/Bill 866-712-7753 CA,-74.99,043022 WellsFargo.pdf,,
2022-04-11,Purchase - Super73 Inc. Httpsshop.Sup CA,-4112.89,043022 WellsFargo.pdf,,
2022-04-11,Purchase - Uber Eats Help.Uber.Com CA,-91.32,043022 WellsFargo.pdf,,
2022-04-11,Zelle to Ed,-750.00,043022 WellsFargo.pdf,,
2022-04-11,Zelle to Garay Victor,-150.00,043022 WellsFargo.pdf,,
2022-04-11,Wells Fargo Auto Fee & Pmts,-602.00,043022 WellsFargo.pdf,225447.50,
2022-04-12,Purchase - Cinepolis Westlake Westlake Vill CA,-125.64,043022 WellsFargo.pdf,,
2022-04-12,Purchase - Uber Trip Help.Uber.Com CA,-80.02,043022 WellsFargo.pdf,,
2022-04-12,Purchase - Erewhon Market Stuido City CA,-64.98,043022 WellsFargo.pdf,,
2022-04-12,Recurring Payment - Tesla Inc. Palo Alto CA,-9.99,043022 WellsFargo.pdf,,
2022-04-12,Stash Capital (S ACH,-1.00,043022 WellsFargo.pdf,,
2022-04-12,Pwp Amazon Tips Privacycom,-7.00,043022 WellsFargo.pdf,,
2022-04-12,Pwp Netflix.Com Privacycom,-15.49,043022 WellsFargo.pdf,,
2022-04-12,Pwp Amazon.Com* Privacycom,-86.15,043022 WellsFargo.pdf,,
2022-04-12,Pwp Amazon.Com* Privacycom,-138.45,043022 WellsFargo.pdf,,
2022-04-12,Pwp Amz*Birddog Privacycom,-151.00,043022 WellsFargo.pdf,,
2022-04-12,Pwp Heroku Mar- Privacycom,-293.27,043022 WellsFargo.pdf,224474.51,
2022-04-13,Zelle to Ed,-950.00,043022 WellsFargo.pdf,,
2022-04-13,Pwp Amazon Tips Privacycom,-7.00,043022 WellsFargo.pdf,,
2022-04-13,Pwp Heroku Mar- Privacycom,-9.99,043022 WellsFargo.pdf,223507.52,
2022-04-14,Purchase - Wholefds Oxn #1031 Oxnard CA,-19.32,043022 WellsFargo.pdf,,
2022-04-14,Business to Business ACH Debit - Truebill Premium,-7.00,043022 WellsFargo.pdf,223481.20,
2022-04-15,Popstand Inc Payroll,2210.83,043022 WellsFargo.pdf,,
2022-04-15,Gusto Pay 372877,5204.61,043022 WellsFargo.pdf,,
2022-04-15,Purchase - Apple.Com/Bill 866-712-7753 CA,-78.98,043022 WellsFargo.pdf,,
2022-04-15,Purchase - Sp Superplastic Httpssprplstc VT,-512.18,043022 WellsFargo.pdf,,
2022-04-15,Purchase - Sp Superplastic Httpssprplstc VT,-260.09,043022 WellsFargo.pdf,,
2022-04-15,Purchase - Ikea Burbank Burbank CA,-363.79,043022 WellsFargo.pdf,,
2022-04-15,Pwp Google *Dom Privacycom,-58.00,043022 WellsFargo.pdf,,
2022-04-15,Pwp Amazon.Com* Privacycom,-147.96,043022 WellsFargo.pdf,229475.64,
2022-04-18,Mobile Deposit : Ref Number :718180041673,3850.00,043022 WellsFargo.pdf,,
2022-04-18,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-9.99,043022 WellsFargo.pdf,,
2022-04-18,Purchase - Carasau Culver City CA,-58.74,043022 WellsFargo.pdf,,
2022-04-18,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-4.99,043022 WellsFargo.pdf,,
2022-04-18,Purchase - ATT* Bill Payment 800-331-0500 TX,-121.27,043022 WellsFargo.pdf,,
2022-04-18,Purchase - Contractor's Wh #527 Ventura CA,-82.41,043022 WellsFargo.pdf,,
2022-04-18,Purchase - Sq *Fringe Shoppe Ventura CA,-31.25,043022 WellsFargo.pdf,,
2022-04-18,Purchase - Kibo Sushi Ventura CA,-69.05,043022 WellsFargo.pdf,,
2022-04-18,Purchase - Green Thumb Int Ventura CA,-139.29,043022 WellsFargo.pdf,,
2022-04-18,Purchase - Bob's Discount Fur Oxnard CA,-2791.16,043022 WellsFargo.pdf,,
2022-04-18,Purchase - Wholefds Oxn #1031 Oxnard CA,-40.22,043022 WellsFargo.pdf,,
2022-04-18,Purchase - Apple.Com/Bill 866-712-7753 CA,-3.99,043022 WellsFargo.pdf,,
2022-04-18,Purchase - Wholefds Val 10178 Santa Clarita CA,-5.99,043022 WellsFargo.pdf,,
2022-04-18,Purchase - Uber Trip Help.Uber.Com CA,-36.95,043022 WellsFargo.pdf,,
2022-04-18,Purchase - Wholefds Val 10178 Santa Clarita CA,-19.85,043022 WellsFargo.pdf,,
2022-04-18,Pwp Amazon Tips Privacycom,-7.00,043022 WellsFargo.pdf,,
2022-04-18,Pwp Amazon Tips Privacycom,-10.00,043022 WellsFargo.pdf,,
2022-04-18,Pwp Amazon.Com* Privacycom,-172.64,043022 WellsFargo.pdf,229720.85,
2022-04-19,Purchase - Abm Parking Cardif Culver City CA,-2.00,043022 WellsFargo.pdf,,
2022-04-19,Purchase - Remitly* Mbfc WWW.Remitly.C WA,-222.49,043022 WellsFargo.pdf,,
2022-04-19,Purchase - Uber Eats Help.Uber.Com CA,-68.54,043022 WellsFargo.pdf,,
2022-04-19,Pwp Amzn Mktp U Privacycom,-78.87,043022 WellsFargo.pdf,,
2022-04-19,Chase Credit Crd Epay,-1603.39,043022 WellsFargo.pdf,227745.56,
2022-04-20,Purchase - Uber Trip Help.Uber.Com CA,-74.76,043022 WellsFargo.pdf,,
2022-04-20,Purchase - Apple.Com/Bill 866-712-7753 CA,-78.98,043022 WellsFargo.pdf,,
2022-04-20,Purchase - Uber *Trip Help.Ub 800-5928996 CA,-45.11,043022 WellsFargo.pdf,,
2022-04-20,Purchase - Wholefds Val 10178 Santa Clarita CA,-10.04,043022 WellsFargo.pdf,,
2022-04-20,Recurring Payment - Apple.Com/Bill 408-974-1010 CA,-2.99,043022 WellsFargo.pdf,,
2022-04-20,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-2.99,043022 WellsFargo.pdf,,
2022-04-20,Purchase - Wholefds Val 10178 Santa Clarita CA,-3.54,043022 WellsFargo.pdf,,
2022-04-20,ATM Withdrawal - 636 W Ventura St Fillmore CA,-1000.00,043022 WellsFargo.pdf,,
2022-04-20,Pwp Amazon.Com* Privacycom,-21.32,043022 WellsFargo.pdf,226505.83,
2022-04-21,Purchase - Amzn Mktp US*1O67P Amzn.Com/Bill WA,-2144.99,043022 WellsFargo.pdf,,
2022-04-21,Purchase - Uber Eats Help.Uber.Com CA,-83.51,043022 WellsFargo.pdf,,
2022-04-21,Purchase - Uber Eats Help.Uber.Com CA,-77.14,043022 WellsFargo.pdf,,
2022-04-21,Purchase - Apple Store #R154 432 Thousand Oaks CA,-232.74,043022 WellsFargo.pdf,,
2022-04-21,Pwp Google*Doma Privacycom,-24.00,043022 WellsFargo.pdf,,
2022-04-21,Payment for Amz Storecard,406.51,043022 WellsFargo.pdf,223536.94,
2022-04-22,WT Fed - Jpmorgan Chase Ban - Popstand Inc,3500.00,043022 WellsFargo.pdf,,
2022-04-22,Wire Trans Svc Charge,-15.00,043022 WellsFargo.pdf,,
2022-04-22,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-29.99,043022 WellsFargo.pdf,,
2022-04-22,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-9.99,043022 WellsFargo.pdf,,
2022-04-22,Purchase - Erewhon Market Stuido City CA,-41.80,043022 WellsFargo.pdf,,
2022-04-22,Purchase - Trader Joe's # 013 Santa Clarita CA,-22.27,043022 WellsFargo.pdf,,
2022-04-22,Pwp Amzn Mktp U Privacycom,-70.00,043022 WellsFargo.pdf,226847.89,
2022-04-25,Wire Trans Svc Charge,-30.00,043022 WellsFargo.pdf,,
2022-04-25,Purchase - Uber Eats Help.Uber.Com CA,-100.46,043022 WellsFargo.pdf,,
2022-04-25,Purchase - Apple.Com/Bill 866-712-7753 CA,-74.99,043022 WellsFargo.pdf,,
2022-04-25,Purchase - Wholefds Bbk#10545 Burbank CA,-14.23,043022 WellsFargo.pdf,,
2022-04-25,Purchase - Wholefds Bbk#10545 Burbank CA,-5.99,043022 WellsFargo.pdf,,
2022-04-25,WT Fed - City National Bank - Zuber Lawler LLP,25000.00,043022 WellsFargo.pdf,,
2022-04-25,Pwp Amazon Tips Privacycom,-10.00,043022 WellsFargo.pdf,,
2022-04-25,Pwp Etsy.Com - Privacycom,-10.00,043022 WellsFargo.pdf,,
2022-04-25,Pwp Amzn Mktp U Privacycom,-15.00,043022 WellsFargo.pdf,,
2022-04-25,Pwp Amzn Mktp U Privacycom,-15.39,043022 WellsFargo.pdf,,
2022-04-25,Pwp Amzn Mktp U Privacycom,-16.08,043022 WellsFargo.pdf,,
2022-04-25,Pwp Amazon.Com* Privacycom,-192.21,043022 WellsFargo.pdf,,
2022-04-25,Pwp Twitter Onl Privacycom,-100.00,043022 WellsFargo.pdf,201263.54,
2022-04-26,WT Fed - Jpmorgan Chase Ban - Popstand Inc,2500.00,043022 WellsFargo.pdf,,
2022-04-26,Wire Trans Svc Charge,-15.00,043022 WellsFargo.pdf,,
2022-04-26,Purchase - Fandango 8668575191 CA,-35.56,043022 WellsFargo.pdf,,
2022-04-26,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-15.99,043022 WellsFargo.pdf,,
2022-04-26,Pwp Amzn Mktp U Privacycom,-25.59,043022 WellsFargo.pdf,203671.40,
2022-04-27,Purchase - AMC 0850 Southbay Redondo Beach CA,-44.30,043022 WellsFargo.pdf,,
2022-04-27,Purchase - Apple.Com/Bill 866-712-7753 CA,-74.99,043022 WellsFargo.pdf,,
2022-04-27,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-9.99,043022 WellsFargo.pdf,,
2022-04-27,Purchase - Laz Parking 670600 Pasadena CA,-10.00,043022 WellsFargo.pdf,,
2022-04-27,Zelle to Ed,-150.00,043022 WellsFargo.pdf,,
2022-04-27,ATM Withdrawal - 636 W Ventura St Fillmore CA,-1000.00,043022 WellsFargo.pdf,,
2022-04-27,Pwp Twitter Onl Privacycom,-94.77,043022 WellsFargo.pdf,,
2022-04-27,Chase Credit Crd Epay,-1320.81,043022 WellsFargo.pdf,200966.54,
2022-04-28,WT Fed - Jpmorgan Chase Ban - Popstand Inc,3500.00,043022 WellsFargo.pdf,,
2022-04-28,Wire Trans Svc Charge,-15.00,043022 WellsFargo.pdf,,
2022-04-28,Purchase - Tst* Sushi Roku - Pasadena CA,-125.69,043022 WellsFargo.pdf,,
2022-04-28,Purchase - Geico *Auto 800-841-3000 DC,-200.98,043022 WellsFargo.pdf,,
2022-04-28,Pwp Twitter Onl Privacycom,-89.80,043022 WellsFargo.pdf,,
2022-04-28,Pwp Amazon.Com* Privacycom,-90.28,043022 WellsFargo.pdf,203944.79,
2022-04-29,Gusto Pay 832026,5204.60,043022 WellsFargo.pdf,,
2022-04-29,Purchase - Ipic Pasadena - Ci Pasadena CA,-52.45,043022 WellsFargo.pdf,,
2022-04-29,Purchase - Laz Parking 670600 Pasadena CA,-10.00,043022 WellsFargo.pdf,,
2022-04-29,Purchase - Sp Gecko Hawaii Httpsgeckohaw CA,-41.87,043022 WellsFargo.pdf,,
2022-04-29,Pwp Amzn Mktp U Privacycom,-5.57,043022 WellsFargo.pdf,,
2022-04-29,Pwp Amazon Tips Privacycom,-7.00,043022 WellsFargo.pdf,,
2022-04-29,Pwp Amazon.Com* Privacycom,-14.96,043022 WellsFargo.pdf,,
2022-04-29,Pwp Slack T0265 Privacycom,-18.58,043022 WellsFargo.pdf,,
2022-04-29,Pwp Amzn Mktp U Privacycom,-20.95,043022 WellsFargo.pdf,,
2022-04-29,Pwp Amzn Mktp U Privacycom,-48.44,043022 WellsFargo.pdf,,
2022-04-29,Interest Payment,1.84,043022 WellsFargo.pdf,208931.41,
