Date,Description,Amount,Source,Balance,Notes
2022-02-10,WT Fed#08518 Jpmorgan Chase Ban /Org=Popstand Inc,3500.00,022822 WellsFargo.pdf,,
2022-02-10,Mobile Deposit : Ref Number :216100270608,203.15,022822 WellsFargo.pdf,,
2022-02-10,Wire Trans Svc Charge - Sequence: 220210115332,-15.00,022822 WellsFargo.pdf,,
2022-02-10,Recurring Payment authorized on 02/09 Apple.Com/Bill,-4.99,022822 WellsFargo.pdf,,
2022-02-10,Lowes #01971* 805-426-2780 CA,-596.80,022822 WellsFargo.pdf,,
2022-02-10,Lowes #01510* 661-297-1400 CA,-1244.25,022822 WellsFargo.pdf,,
2022-02-10,Amazon Tips*J435L1 Amzn.Com/Bill WA,-5.00,022822 WellsFargo.pdf,,
2022-02-10,Zelle to Everardo on 02/10 Ref #Rp0Q8L9Rb4,-667.00,022822 WellsFargo.pdf,,
2022-02-10,Pwp Amzn Mktp U Privacycom TN: 7210355,-9.64,022822 WellsFargo.pdf,,
2022-02-10,Pwp Amzn Mktp U Privacycom TN: 1757190,-12.74,022822 WellsFargo.pdf,,
2022-02-10,Pwp Amazon.Com* Privacycom TN: 6816036,-25.71,022822 WellsFargo.pdf,,
2022-02-10,Pwp Amzn Mktp U Privacycom TN: 9120336,-29.55,022822 WellsFargo.pdf,,
2022-02-10,Pwp Amzn Mktp U Privacycom TN: 3114544,-42.67,022822 WellsFargo.pdf,,
2022-02-10,Pwp Amzn Mktp U Privacycom TN: 8592002,-321.74,022822 WellsFargo.pdf,,
2022-02-10,Venmo Payment 220210 1018423518720,-250.00,022822 WellsFargo.pdf,233845.33,
2022-02-11,Purchase Return authorized on 02/10 Apple.Com/Bill,29.99,022822 WellsFargo.pdf,,
2022-02-11,Apple.Com/Bill 866-712-7753 CA,-74.99,022822 WellsFargo.pdf,,
2022-02-11,Recurring Payment authorized on 02/10 WWW.Twitter.Com,-2.99,022822 WellsFargo.pdf,,
2022-02-11,Pwp Amzn Mktp U Privacycom TN: 8326859,-57.90,022822 WellsFargo.pdf,233739.44,
2022-02-14,Purchase Return authorized on 02/11 Lowes #01510* Santa Clarita CA,430.66,022822 WellsFargo.pdf,,
2022-02-14,Lowes #01510* 661-297-1400 CA,-519.80,022822 WellsFargo.pdf,,
2022-02-14,Lowes #01510* 661-297-1400 CA,-232.01,022822 WellsFargo.pdf,,
2022-02-14,The Home Depot 653 Santa Clarita CA,-100.00,022822 WellsFargo.pdf,,
2022-02-14,The Home Depot #0653 Santa Clarita CA,-30.56,022822 WellsFargo.pdf,,
2022-02-14,Cvs/Pharm 09858--25880 Valencia CA,-69.12,022822 WellsFargo.pdf,,
2022-02-14,Recurring Payment authorized on 02/11 Tesla Inc. Palo Alto CA,-9.99,022822 WellsFargo.pdf,,
2022-02-14,Ikea Burbank Burbank CA,-30.86,022822 WellsFargo.pdf,,
2022-02-14,Yelpinc*Chownow WO WWW.Yelp.Com CA,-46.02,022822 WellsFargo.pdf,,
2022-02-14,Uber Eats Help.Uber.Com CA,-155.23,022822 WellsFargo.pdf,,
2022-02-14,Ck Dealer # 01462 423 Filmore CA,-49.95,022822 WellsFargo.pdf,,
2022-02-14,Apple.Com/Bill 866-712-7753 CA,-74.99,022822 WellsFargo.pdf,,
2022-02-14,Amazon.Com*7490N9V Amzn.Com/Bill WA,-45.71,022822 WellsFargo.pdf,,
2022-02-14,Apple.Com/Bill 866-712-7753 CA,-74.99,022822 WellsFargo.pdf,,
2022-02-14,Apple.Com/Bill 866-712-7753 CA,-74.99,022822 WellsFargo.pdf,,
2022-02-14,Recurring Payment Reversal on 02/10 Homeowners Insuran,1458.00,022822 WellsFargo.pdf,,
2022-02-14,Stash Capital (S ACH Feb 14,-1.00,022822 WellsFargo.pdf,,
2022-02-14,Business to Business ACH Debit - Truebill Premium,-7.00,022822 WellsFargo.pdf,234105.88,
2022-02-15,Popstand Inc Payroll 220215,2210.83,022822 WellsFargo.pdf,,
2022-02-15,Gusto Pay 680692 220215,5204.60,022822 WellsFargo.pdf,,
2022-02-15,Uber Eats Help.Uber.Com CA,-87.88,022822 WellsFargo.pdf,,
2022-02-15,Amazon Tips*9L2Rj5 Amzn.Com/Bill WA,-5.00,022822 WellsFargo.pdf,,
2022-02-15,Apple.Com/Bill 866-712-7753 CA,-82.98,022822 WellsFargo.pdf,,
2022-02-15,Withdrawal Made In A Branch/Store,-5000.00,022822 WellsFargo.pdf,,
2022-02-15,Pwp Amzn Mktp U Privacycom TN: 2757301,-59.01,022822 WellsFargo.pdf,,
2022-02-15,Pwp Amzn Mktp U Privacycom TN: 6645485,-61.12,022822 WellsFargo.pdf,,
2022-02-15,Pwp Amzn Mktp U Privacycom TN: 1169045,-226.24,022822 WellsFargo.pdf,,
2022-02-15,Pwp Amzn Mktp U Privacycom TN: 4258273,-278.84,022822 WellsFargo.pdf,,
2022-02-15,Pwp Amzn Mktp U Privacycom TN: 8078249,-536.20,022822 WellsFargo.pdf,235184.04,
2022-02-16,Uber *Trip Help.Ub 800-5928996 CA,-69.10,022822 WellsFargo.pdf,,
2022-02-16,Uber *Trip Help.Ub 800-5928996 CA,-74.35,022822 WellsFargo.pdf,,
2022-02-16,Apple.Com/Bill 866-712-7753 CA,-7.99,022822 WellsFargo.pdf,,
2022-02-16,Recurring Payment authorized on 02/15 Apple.Com/Bill,-9.99,022822 WellsFargo.pdf,,
2022-02-16,Wholefds Val 10178 Santa Clarita CA,-36.59,022822 WellsFargo.pdf,,
2022-02-16,Business to Business ACH Debit - Lowes Brc CC,-422.33,022822 WellsFargo.pdf,,
2022-02-16,Pwp Talent List Privacycom TN: 3888888,-249.00,022822 WellsFargo.pdf,234314.69,
2022-02-17,Recurring Payment authorized on 02/15 ATT* Bill Payment,-158.23,022822 WellsFargo.pdf,,
2022-02-17,Wholefds Val 10178 Santa Clarita CA,-9.49,022822 WellsFargo.pdf,,
2022-02-17,Val Surf Valencia CA,-197.08,022822 WellsFargo.pdf,,
2022-02-17,Wholefds Val 10178 Santa Clarita CA,-3.65,022822 WellsFargo.pdf,,
2022-02-17,USA*Csc Tep CO Valencia CA,-2.00,022822 WellsFargo.pdf,,
2022-02-17,Pwp Amazon.Com* Privacycom TN: 1167690,-66.16,022822 WellsFargo.pdf,233878.08,
2022-02-18,Apple.Com/Bill 866-712-7753 CA,-74.99,022822 WellsFargo.pdf,,
2022-02-18,Pwp Amazon Tips Privacycom TN: 6724815,-5.00,022822 WellsFargo.pdf,233798.09,
2022-02-22,Lowes #00907* 866-483-7521 NC,-289.89,022822 WellsFargo.pdf,,
2022-02-22,Uber *Trip Help.Ub 800-5928996 CA,-68.81,022822 WellsFargo.pdf,,
2022-02-22,Wholefds Val 10178 Santa Clarita CA,-12.83,022822 WellsFargo.pdf,,
2022-02-22,Val Surf Valencia CA,-174.07,022822 WellsFargo.pdf,,
2022-02-22,Wholefds Val 10178 Santa Clarita CA,-3.69,022822 WellsFargo.pdf,,
2022-02-22,The Home Depot 653 Santa Clarita CA,-100.39,022822 WellsFargo.pdf,,
2022-02-22,Apple.Com/Bill 866-712-7753 CA,-74.99,022822 WellsFargo.pdf,,
2022-02-22,Uber *Trip Help.Ub 800-5928996 CA,-44.62,022822 WellsFargo.pdf,,
2022-02-22,Marmalade Cafe She Sherman Oaks CA,-64.73,022822 WellsFargo.pdf,,
2022-02-22,Sq *Salt & Straw I Studio City CA,-18.17,022822 WellsFargo.pdf,,
2022-02-22,Recurring Payment authorized on 02/19 Apple.Com/Bill,-2.99,022822 WellsFargo.pdf,,
2022-02-22,Recurring Payment authorized on 02/19 Apple.Com/Bill,-2.99,022822 WellsFargo.pdf,,
2022-02-22,Uber Eats Help.Uber.Com CA,-59.71,022822 WellsFargo.pdf,,
2022-02-22,Uber Eats Help.Uber.Com CA,-36.58,022822 WellsFargo.pdf,,
2022-02-22,Nayax Air 2 Hunt Valley MD,-1.50,022822 WellsFargo.pdf,,
2022-02-22,Tst* Sushi Roku- S Santa Monica CA,-102.49,022822 WellsFargo.pdf,,
2022-02-22,City of Santa Moni Santa Monica CA,-11.00,022822 WellsFargo.pdf,,
2022-02-22,Wholefds Wwd 10176 Los Angeles CA,-3.34,022822 WellsFargo.pdf,,
2022-02-22,Apple.Com/Bill 866-712-7753 CA,-35.98,022822 WellsFargo.pdf,,
2022-02-22,Apple.Com/Bill 866-712-7753 CA,-74.99,022822 WellsFargo.pdf,,
2022-02-22,Recurring Payment authorized on 02/21 Apple.Com/Bill,-9.99,022822 WellsFargo.pdf,,
2022-02-22,Pwp Amazon Tips Privacycom TN: 1759215,-5.00,022822 WellsFargo.pdf,,
2022-02-22,Pwp Amzn Mktp U Privacycom TN: 8823516,-13.93,022822 WellsFargo.pdf,,
2022-02-22,Pwp Amzn Mktp U Privacycom TN: 1195437,-23.56,022822 WellsFargo.pdf,,
2022-02-22,Pwp Amazon.Com* Privacycom TN: 8659526,-60.70,022822 WellsFargo.pdf,,
2022-02-22,Pwp Amzn Mktp U Privacycom TN: 1324280,-96.87,022822 WellsFargo.pdf,,
2022-02-22,Foremost Epm Pymt 022222,-2249.00,022822 WellsFargo.pdf,230155.28,
2022-02-23,Apple.Com/Bill 800-275-2273 CA,-74.99,022822 WellsFargo.pdf,,
2022-02-23,Apple.Com/Bill 866-712-7753 CA,-74.99,022822 WellsFargo.pdf,,
2022-02-23,Wells Fargo Auto Fee & Pmts 022322,-1300.00,022822 WellsFargo.pdf,228705.30,
2022-02-24,WT Fed#09491 Jpmorgan Chase Ban /Org=Popstand Inc,4500.00,022822 WellsFargo.pdf,,
2022-02-24,Wire Trans Svc Charge - Sequence: 220224107088,-15.00,022822 WellsFargo.pdf,,
2022-02-24,Apple.Com/Bill 866-712-7753 CA,-74.99,022822 WellsFargo.pdf,,
2022-02-24,Pwp Google *Clo Privacycom TN: 8726523,-100.00,022822 WellsFargo.pdf,,
2022-02-24,Pwp Amzn Mktp U Privacycom TN: 5991623,-100.29,022822 WellsFargo.pdf,,
2022-02-24,Mortgage Serv CT Mtg Paymt 022222,-4479.20,022822 WellsFargo.pdf,228435.82,
2022-02-25,Pymnts Dapper Online Gbr,-26.62,022822 WellsFargo.pdf,,
2022-02-25,Pymnts Dapper Online Gbr,-21.36,022822 WellsFargo.pdf,,
2022-02-25,Wholefds Val 10178 Santa Clarita CA,-3.34,022822 WellsFargo.pdf,,
2022-02-25,Wholefds Val 10178 Santa Clarita CA,-32.15,022822 WellsFargo.pdf,,
2022-02-25,Val Surf Valencia CA,-131.39,022822 WellsFargo.pdf,,
2022-02-25,Val Surf Valencia CA,-8.75,022822 WellsFargo.pdf,,
2022-02-25,Wholefds Val 10178 Santa Clarita CA,-9.99,022822 WellsFargo.pdf,,
2022-02-25,Pwp Amzn Mktp U Privacycom TN: 6895411,-93.27,022822 WellsFargo.pdf,228108.95,
2022-02-28,WT Fed#01619 Jpmorgan Chase Ban /Org=Popstand Inc,4000.00,022822 WellsFargo.pdf,,
2022-02-28,Wire Trans Svc Charge - Sequence: 220228124074,-15.00,022822 WellsFargo.pdf,,
2022-02-28,Uber *Trip Help.Ub 800-5928996 CA,-68.17,022822 WellsFargo.pdf,,
2022-02-28,Uber Trip Help.Uber.Com CA,-44.04,022822 WellsFargo.pdf,,
2022-02-28,Wholefds Val 10178 Santa Clarita CA,-43.39,022822 WellsFargo.pdf,,
2022-02-28,Tst* Sushi Roku- S Santa Monica CA,-132.85,022822 WellsFargo.pdf,,
2022-02-28,City of Santa Moni Santa Monica CA,-3.50,022822 WellsFargo.pdf,,
2022-02-28,Sprinkles #117 Glendale CA,-17.00,022822 WellsFargo.pdf,,
2022-02-28,Recurring Payment authorized on 02/26 Apple.Com/Bill,-15.99,022822 WellsFargo.pdf,,
2022-02-28,Recurring Payment authorized on 02/26 Apple.Com/Bill,-9.99,022822 WellsFargo.pdf,,
2022-02-28,Uber Trip Help.Uber.Com CA,-233.80,022822 WellsFargo.pdf,,
2022-02-28,Wholefds Gln 10179 Glendale CA,-38.48,022822 WellsFargo.pdf,,
2022-02-28,Tender Greens Culv Culver City CA,-39.93,022822 WellsFargo.pdf,,
2022-02-28,Audible*1I1Cs9Tl2 Amzn.Com/Bill NJ,-14.95,022822 WellsFargo.pdf,,
2022-02-28,Pwp Amazon Tips Privacycom TN: 4092438,-7.00,022822 WellsFargo.pdf,,
2022-02-28,Pwp Amazon.Com* Privacycom TN: 2651815,-24.32,022822 WellsFargo.pdf,,
2022-02-28,Pwp Google*Doma Privacycom TN: 9334427,-33.23,022822 WellsFargo.pdf,,
2022-02-28,Pwp Amazon.Com* Privacycom TN: 6323613,-128.03,022822 WellsFargo.pdf,,
2022-02-28,Venmo Payment 220226 1018699534392,-300.00,022822 WellsFargo.pdf,,
2022-02-28,Pwp Google*Doma Privacycom TN: 9869122,-1074.00,022822 WellsFargo.pdf,,
2022-02-28,Interest Payment,1.65,022822 WellsFargo.pdf,229866.93,
2022-02-28,Ending Balance,,022822 WellsFargo.pdf,229866.93,
